Extractor,Classifier,accuracy,precision,recall,f1,attack_detection_rate,false_attack_rate
LSTM,XGBoost,0.870722433460076,0.759493670886076,0.5504587155963303,0.6382978723404256,55.04587155963303,4.556354916067146
LSTM,KNN,0.7357414448669202,0.4157303370786517,0.6788990825688074,0.5156794425087108,67.88990825688074,24.940047961630697
LSTM,SVM,0.8212927756653993,0.5496688741721855,0.7614678899082569,0.6384615384615384,76.14678899082568,16.30695443645084
LSTM,LogReg,0.7357414448669202,0.42424242424242425,0.7706422018348624,0.5472312703583062,77.06422018348624,27.33812949640288
CNN1D,XGBoost,0.7509505703422054,0.3333333333333333,0.2018348623853211,0.25142857142857145,20.18348623853211,10.551558752997602
CNN1D,KNN,0.5038022813688213,0.20078740157480315,0.46788990825688076,0.2809917355371901,46.788990825688074,48.6810551558753
CNN1D,SVM,0.6520912547528517,0.27439024390243905,0.41284403669724773,0.32967032967032966,41.284403669724774,28.53717026378897
CNN1D,LogReg,0.5893536121673004,0.2600896860986547,0.5321100917431193,0.3493975903614458,53.21100917431193,39.568345323741006
Autoencoder,XGBoost,0.8136882129277566,0.5591397849462365,0.47706422018348627,0.5148514851485149,47.706422018348626,9.832134292565947
Autoencoder,KNN,0.5893536121673004,0.2901960784313726,0.6788990825688074,0.4065934065934066,67.88990825688074,43.4052757793765
Autoencoder,SVM,0.7452471482889734,0.43902439024390244,0.8256880733944955,0.5732484076433121,82.56880733944955,27.577937649880095
Autoencoder,LogReg,0.7452471482889734,0.4358974358974359,0.7798165137614679,0.5592105263157895,77.98165137614679,26.378896882494008
