Extractor,Classifier,accuracy,precision,recall,f1,attack_detection_rate,false_attack_rate
LSTM,XGBoost,0.8517110266159695,0.7246376811594203,0.45871559633027525,0.5617977528089888,45.87155963302752,4.556354916067146
LSTM,KNN,0.6501901140684411,0.32057416267942584,0.6146788990825688,0.42138364779874216,61.46788990825688,34.05275779376499
LSTM,SVM,0.8098859315589354,0.5371900826446281,0.5963302752293578,0.5652173913043478,59.63302752293578,13.42925659472422
LSTM,LogReg,0.7262357414448669,0.4120603015075377,0.7522935779816514,0.5324675324675324,75.22935779816514,28.05755395683453
CNN1D,XGBoost,0.7566539923954373,0.1935483870967742,0.05504587155963303,0.08571428571428572,5.5045871559633035,5.995203836930456
CNN1D,KNN,0.5399239543726235,0.2217573221757322,0.48623853211009177,0.3045977011494253,48.62385321100918,44.60431654676259
CNN1D,SVM,0.6349809885931559,0.2955665024630542,0.5504587155963303,0.38461538461538464,55.04587155963303,34.2925659472422
CNN1D,LogReg,0.5779467680608364,0.26359832635983266,0.5779816513761468,0.3620689655172414,57.798165137614674,42.20623501199041
Autoencoder,XGBoost,0.752851711026616,0.36363636363636365,0.25688073394495414,0.3010752688172043,25.688073394495415,11.750599520383693
Autoencoder,KNN,0.532319391634981,0.23137254901960785,0.5412844036697247,0.3241758241758242,54.12844036697248,47.00239808153477
Autoencoder,SVM,0.6615969581749049,0.33170731707317075,0.6238532110091743,0.43312101910828027,62.38532110091744,32.853717026378895
Autoencoder,LogReg,0.6368821292775665,0.3277310924369748,0.7155963302752294,0.4495677233429395,71.55963302752293,38.36930455635492
