Extractor,Classifier,accuracy,precision,recall,f1,attack_detection_rate,false_attack_rate
LSTM,XGBoost,0.20722433460076045,0.20722433460076045,1.0,0.34330708661417325,100.0,100.0
LSTM,KNN,0.7889733840304183,0.4,0.03669724770642202,0.06722689075630252,3.669724770642202,1.4388489208633095
LSTM,SVM,0.7433460076045627,0.25,0.11926605504587157,0.16149068322981366,11.926605504587156,9.352517985611511
LSTM,LogReg,0.7927756653992395,0.0,0.0,0.0,0.0,0.0
CNN1D,XGBoost,0.7870722433460076,0.4,0.05504587155963303,0.0967741935483871,5.5045871559633035,2.158273381294964
CNN1D,KNN,0.5209125475285171,0.18777292576419213,0.3944954128440367,0.25443786982248523,39.44954128440367,44.60431654676259
CNN1D,SVM,0.6844106463878327,0.32727272727272727,0.4954128440366973,0.39416058394160586,49.54128440366973,26.618705035971225
CNN1D,LogReg,0.6387832699619772,0.29015544041450775,0.5137614678899083,0.3708609271523179,51.37614678899083,32.853717026378895
Autoencoder,XGBoost,0.7756653992395437,0.42105263157894735,0.22018348623853212,0.2891566265060241,22.018348623853214,7.913669064748201
Autoencoder,KNN,0.591254752851711,0.25462962962962965,0.5045871559633027,0.3384615384615385,50.45871559633027,38.60911270983213
Autoencoder,SVM,0.7091254752851711,0.37777777777777777,0.6238532110091743,0.47058823529411764,62.38532110091744,26.85851318944844
Autoencoder,LogReg,0.6768060836501901,0.35121951219512193,0.6605504587155964,0.4585987261146497,66.05504587155964,31.894484412470025
