Classifier,accuracy,precision,recall,f1,attack_detection_rate,false_attack_rate
KNN,0.8365019011406845,0.5669291338582677,0.6990291262135923,0.6260869565217392,69.90291262135922,13.002364066193852
SVM,0.8403041825095057,0.5922330097087378,0.5922330097087378,0.5922330097087378,59.22330097087378,9.929078014184398
LogReg,0.8574144486692015,0.625,0.6796116504854369,0.6511627906976745,67.96116504854369,9.929078014184398
XGBoost,0.8403041825095057,0.5959595959595959,0.5728155339805825,0.5841584158415841,57.28155339805825,9.456264775413711
