Extractor,Classifier,accuracy,precision,recall,f1,attack_detection_rate,false_attack_rate
LSTM,XGBoost,0.8593155893536122,0.7536231884057971,0.47706422018348627,0.5842696629213483,47.706422018348626,4.07673860911271
LSTM,KNN,0.8346007604562737,0.7619047619047619,0.29357798165137616,0.423841059602649,29.357798165137616,2.3980815347721824
LSTM,SVM,0.870722433460076,0.8727272727272727,0.44036697247706424,0.5853658536585366,44.03669724770643,1.6786570743405276
LSTM,LogReg,0.8517110266159695,0.8974358974358975,0.3211009174311927,0.47297297297297297,32.11009174311927,0.9592326139088728
CNN1D,XGBoost,0.785171102661597,0.4166666666666667,0.09174311926605505,0.15037593984962405,9.174311926605505,3.357314148681055
CNN1D,KNN,0.752851711026616,0.1111111111111111,0.027522935779816515,0.04411764705882353,2.7522935779816518,5.755395683453238
CNN1D,SVM,0.7927756653992395,0.0,0.0,0.0,0.0,0.0
CNN1D,LogReg,0.7927756653992395,0.0,0.0,0.0,0.0,0.0
Autoencoder,XGBoost,0.8022813688212928,0.543859649122807,0.28440366972477066,0.37349397590361444,28.440366972477065,6.235011990407674
Autoencoder,KNN,0.7699619771863118,0.36363636363636365,0.14678899082568808,0.20915032679738563,14.678899082568808,6.71462829736211
Autoencoder,SVM,0.7927756653992395,0.0,0.0,0.0,0.0,0.0
Autoencoder,LogReg,0.8212927756653993,0.7027027027027027,0.23853211009174313,0.3561643835616438,23.853211009174313,2.6378896882494005
